date,price,ActualLoad,ForecastLoad,weekday,season,period
2020-01-01 00:00:00,38.6,8700.5,8544.0,Wednesday,winter,night
2020-01-01 01:00:00,36.55,8320.25,8185.75,Wednesday,winter,night
2020-01-01 02:00:00,32.32,8000.75,7896.75,Wednesday,winter,night
2020-01-01 03:00:00,30.85,7795.5,7720.5,Wednesday,winter,night
2020-01-01 04:00:00,30.14,7784.0,7660.25,Wednesday,winter,night
2020-01-01 05:00:00,30.17,7846.75,7684.75,Wednesday,winter,night
2020-01-01 06:00:00,30.0,7752.75,7584.25,Wednesday,winter,morning
2020-01-01 07:00:00,30.65,7895.5,7614.5,Wednesday,winter,morning
2020-01-01 08:00:00,30.65,8103.25,7789.25,Wednesday,winter,morning
2020-01-01 09:00:00,30.27,8361.75,8136.25,Wednesday,winter,morning
2020-01-01 10:00:00,30.34,8651.25,8433.5,Wednesday,winter,morning
2020-01-01 11:00:00,30.99,8760.5,8613.75,Wednesday,winter,morning
2020-01-01 12:00:00,30.04,8782.25,8629.75,Wednesday,winter,afternoon
2020-01-01 13:00:00,30.75,8569.5,8546.0,Wednesday,winter,afternoon
2020-01-01 14:00:00,32.11,8655.25,8515.5,Wednesday,winter,afternoon
2020-01-01 15:00:00,35.98,8819.25,8618.0,Wednesday,winter,afternoon
2020-01-01 16:00:00,40.4,9389.75,9040.25,Wednesday,winter,afternoon
2020-01-01 17:00:00,44.05,9490.75,9151.5,Wednesday,winter,afternoon
2020-01-01 18:00:00,49.15,9335.25,9042.5,Wednesday,winter,evening
2020-01-01 19:00:00,44.58,9141.0,8857.5,Wednesday,winter,evening
2020-01-01 20:00:00,40.68,8912.25,8728.75,Wednesday,winter,evening
2020-01-01 21:00:00,41.06,9169.75,8981.5,Wednesday,winter,evening
2020-01-01 22:00:00,38.56,9291.5,9026.0,Wednesday,winter,evening
2020-01-01 23:00:00,35.4,8826.0,8580.0,Wednesday,winter,evening
2020-01-02 00:00:00,31.98,8445.0,8680.25,Thursday,winter,night
2020-01-02 01:00:00,30.5,8130.5,8367.5,Thursday,winter,night
2020-01-02 02:00:00,28.79,7923.0,8220.75,Thursday,winter,night
2020-01-02 03:00:00,28.42,7907.25,8428.0,Thursday,winter,night
2020-01-02 04:00:00,28.75,8169.75,8895.5,Thursday,winter,night
2020-01-02 05:00:00,34.16,8978.75,9814.0,Thursday,winter,night
2020-01-02 06:00:00,42.07,9520.0,10605.75,Thursday,winter,morning
2020-01-02 07:00:00,44.89,10189.0,11228.75,Thursday,winter,morning
2020-01-02 08:00:00,45.26,10599.0,11503.75,Thursday,winter,morning
2020-01-02 09:00:00,45.57,10855.75,11613.5,Thursday,winter,morning
2020-01-02 10:00:00,45.09,11185.5,11725.0,Thursday,winter,morning
2020-01-02 11:00:00,45.16,11130.25,11588.5,Thursday,winter,morning
2020-01-02 12:00:00,44.9,11053.0,11566.25,Thursday,winter,afternoon
2020-01-02 13:00:00,44.06,10816.25,11463.0,Thursday,winter,afternoon
2020-01-02 14:00:00,44.0,10814.0,11473.5,Thursday,winter,afternoon
2020-01-02 15:00:00,44.38,10789.5,11533.25,Thursday,winter,afternoon
2020-01-02 16:00:00,46.05,11244.5,12102.25,Thursday,winter,afternoon
2020-01-02 17:00:00,46.72,11145.75,12118.5,Thursday,winter,afternoon
2020-01-02 18:00:00,45.04,10764.5,11635.25,Thursday,winter,evening
2020-01-02 19:00:00,35.97,10097.25,11053.75,Thursday,winter,evening
2020-01-02 20:00:00,34.37,9563.25,10550.0,Thursday,winter,evening
2020-01-02 21:00:00,32.58,9601.75,10625.5,Thursday,winter,evening
2020-01-02 22:00:00,31.77,9686.0,10513.75,Thursday,winter,evening
2020-01-02 23:00:00,32.05,9082.25,10009.0,Thursday,winter,evening
2020-01-03 00:00:00,30.75,8538.5,9510.0,Friday,winter,night
2020-01-03 01:00:00,29.03,8251.75,9131.75,Friday,winter,night
2020-01-03 02:00:00,24.96,8000.75,8918.0,Friday,winter,night
2020-01-03 03:00:00,22.56,8046.25,8944.25,Friday,winter,night
2020-01-03 04:00:00,26.16,8327.25,9234.0,Friday,winter,night
2020-01-03 05:00:00,31.21,9072.0,10006.75,Friday,winter,night
2020-01-03 06:00:00,36.73,9610.25,10655.5,Friday,winter,morning
2020-01-03 07:00:00,40.7,10148.0,11260.5,Friday,winter,morning
2020-01-03 08:00:00,45.95,10548.5,11568.0,Friday,winter,morning
2020-01-03 09:00:00,47.67,10665.5,11609.5,Friday,winter,morning
2020-01-03 10:00:00,45.97,10846.0,11715.75,Friday,winter,morning
2020-01-03 11:00:00,43.56,10927.75,11643.75,Friday,winter,morning
2020-01-03 12:00:00,39.35,10899.75,11556.5,Friday,winter,afternoon
2020-01-03 13:00:00,39.04,10846.0,11397.5,Friday,winter,afternoon
2020-01-03 14:00:00,38.4,10857.25,11313.0,Friday,winter,afternoon
2020-01-03 15:00:00,38.91,10898.25,11475.5,Friday,winter,afternoon
2020-01-03 16:00:00,45.76,11523.75,11988.75,Friday,winter,afternoon
2020-01-03 17:00:00,47.77,11418.75,11899.5,Friday,winter,afternoon
2020-01-03 18:00:00,45.75,11022.25,11426.5,Friday,winter,evening
2020-01-03 19:00:00,44.66,10383.75,10879.0,Friday,winter,evening
2020-01-03 20:00:00,33.0,9965.5,10409.25,Friday,winter,evening
2020-01-03 21:00:00,38.72,9976.25,10453.0,Friday,winter,evening
2020-01-03 22:00:00,37.74,9958.25,10424.25,Friday,winter,evening
2020-01-03 23:00:00,33.12,9486.5,9839.0,Friday,winter,evening
2020-01-04 00:00:00,30.49,8871.0,8911.25,Saturday,winter,night
2020-01-04 01:00:00,30.14,8552.25,8538.5,Saturday,winter,night
2020-01-04 02:00:00,27.75,8266.5,8265.75,Saturday,winter,night
2020-01-04 03:00:00,26.32,8187.75,8186.5,Saturday,winter,night
2020-01-04 04:00:00,25.95,8298.0,8225.5,Saturday,winter,night
2020-01-04 05:00:00,25.84,8579.5,8542.0,Saturday,winter,night
2020-01-04 06:00:00,27.28,8747.75,8688.75,Saturday,winter,morning
2020-01-04 07:00:00,30.0,9204.5,9255.75,Saturday,winter,morning
2020-01-04 08:00:00,36.41,9695.25,9741.0,Saturday,winter,morning
2020-01-04 09:00:00,39.5,9951.0,10145.25,Saturday,winter,morning
2020-01-04 10:00:00,40.26,9992.5,10467.25,Saturday,winter,morning
2020-01-04 11:00:00,35.0,9951.5,10552.5,Saturday,winter,morning
2020-01-04 12:00:00,32.07,9957.25,10372.25,Saturday,winter,afternoon
2020-01-04 13:00:00,36.8,9978.25,10185.75,Saturday,winter,afternoon
2020-01-04 14:00:00,38.94,9954.25,10171.5,Saturday,winter,afternoon
2020-01-04 15:00:00,36.85,10105.5,10345.5,Saturday,winter,afternoon
2020-01-04 16:00:00,49.16,10657.0,10889.25,Saturday,winter,afternoon
2020-01-04 17:00:00,51.66,10769.5,10864.5,Saturday,winter,afternoon
2020-01-04 18:00:00,47.01,10485.75,10416.5,Saturday,winter,evening
2020-01-04 19:00:00,42.85,10079.25,9970.0,Saturday,winter,evening
2020-01-04 20:00:00,34.46,9660.5,9579.0,Saturday,winter,evening
2020-01-04 21:00:00,39.75,9687.75,9626.25,Saturday,winter,evening
2020-01-04 22:00:00,37.95,9702.0,9694.75,Saturday,winter,evening
2020-01-04 23:00:00,33.1,9249.25,9144.0,Saturday,winter,evening
2020-01-05 00:00:00,32.28,8725.0,8320.5,Sunday,winter,night
2020-01-05 01:00:00,31.18,8400.25,7933.25,Sunday,winter,night
2020-01-05 02:00:00,30.1,8202.0,7664.0,Sunday,winter,night
2020-01-05 03:00:00,29.96,8141.25,7552.0,Sunday,winter,night
2020-01-05 04:00:00,29.88,8184.0,7627.0,Sunday,winter,night
2020-01-05 05:00:00,30.38,8317.25,7850.75,Sunday,winter,night
2020-01-05 06:00:00,31.15,8476.75,7988.25,Sunday,winter,morning
2020-01-05 07:00:00,32.09,8850.25,8350.75,Sunday,winter,morning
2020-01-05 08:00:00,34.27,9339.0,8764.0,Sunday,winter,morning
2020-01-05 09:00:00,37.53,9724.0,9263.5,Sunday,winter,morning
2020-01-05 10:00:00,38.99,10131.5,9634.5,Sunday,winter,morning
2020-01-05 11:00:00,38.15,10385.25,9816.75,Sunday,winter,morning
2020-01-05 12:00:00,35.37,10208.75,9661.25,Sunday,winter,afternoon
2020-01-05 13:00:00,34.44,10024.0,9426.5,Sunday,winter,afternoon
2020-01-05 14:00:00,36.1,9891.25,9373.75,Sunday,winter,afternoon
2020-01-05 15:00:00,40.59,9960.5,9468.5,Sunday,winter,afternoon
2020-01-05 16:00:00,44.68,10555.5,10158.5,Sunday,winter,afternoon
2020-01-05 17:00:00,46.16,10733.0,10380.25,Sunday,winter,afternoon
2020-01-05 18:00:00,46.5,10481.0,10234.75,Sunday,winter,evening
2020-01-05 19:00:00,45.33,10108.75,9859.5,Sunday,winter,evening
2020-01-05 20:00:00,38.05,9692.25,9449.75,Sunday,winter,evening
2020-01-05 21:00:00,38.51,9588.5,9522.75,Sunday,winter,evening
2020-01-05 22:00:00,35.43,9563.0,9497.75,Sunday,winter,evening
2020-01-05 23:00:00,29.16,9178.5,8892.75,Sunday,winter,evening
2020-01-06 00:00:00,29.0,8787.5,8378.75,Monday,winter,night
2020-01-06 01:00:00,29.08,8494.5,8032.5,Monday,winter,night
2020-01-06 02:00:00,27.72,8314.0,7867.0,Monday,winter,night
2020-01-06 03:00:00,27.03,8282.75,7938.75,Monday,winter,night
2020-01-06 04:00:00,28.98,8970.0,8385.25,Monday,winter,night
2020-01-06 05:00:00,33.18,10320.0,9451.5,Monday,winter,night
2020-01-06 06:00:00,43.13,11210.0,10287.75,Monday,winter,morning
2020-01-06 07:00:00,44.52,11830.25,10771.0,Monday,winter,morning
2020-01-06 08:00:00,44.96,11863.5,10950.25,Monday,winter,morning
2020-01-06 09:00:00,44.0,11668.75,11002.25,Monday,winter,morning
2020-01-06 10:00:00,42.46,11640.0,11096.5,Monday,winter,morning
2020-01-06 11:00:00,41.3,11207.0,11006.75,Monday,winter,morning
2020-01-06 12:00:00,40.51,11018.25,11013.75,Monday,winter,afternoon
2020-01-06 13:00:00,41.22,10965.25,10933.0,Monday,winter,afternoon
2020-01-06 14:00:00,43.28,11035.0,10928.0,Monday,winter,afternoon
2020-01-06 15:00:00,43.68,11409.0,11061.5,Monday,winter,afternoon
2020-01-06 16:00:00,47.9,12154.0,11775.75,Monday,winter,afternoon
2020-01-06 17:00:00,48.91,12200.75,11845.0,Monday,winter,afternoon
2020-01-06 18:00:00,45.23,11722.75,11368.75,Monday,winter,evening
2020-01-06 19:00:00,40.0,11141.75,10705.0,Monday,winter,evening
2020-01-06 20:00:00,33.89,10550.5,10186.75,Monday,winter,evening
2020-01-06 21:00:00,33.58,10609.25,10294.0,Monday,winter,evening
2020-01-06 22:00:00,30.35,10520.0,10178.0,Monday,winter,evening
2020-01-06 23:00:00,30.0,9842.0,9621.0,Monday,winter,evening
2020-01-07 00:00:00,31.1,9475.5,9399.5,Tuesday,winter,night
2020-01-07 01:00:00,29.9,9183.75,9070.5,Tuesday,winter,night
2020-01-07 02:00:00,29.02,8877.75,8859.25,Tuesday,winter,night
2020-01-07 03:00:00,29.65,8967.25,8950.25,Tuesday,winter,night
2020-01-07 04:00:00,31.79,9450.5,9408.25,Tuesday,winter,night
2020-01-07 05:00:00,40.84,10579.5,10543.0,Tuesday,winter,night
2020-01-07 06:00:00,49.01,11612.5,11596.0,Tuesday,winter,morning
2020-01-07 07:00:00,51.09,12037.5,11925.25,Tuesday,winter,morning
2020-01-07 08:00:00,51.12,12073.0,12041.75,Tuesday,winter,morning
2020-01-07 09:00:00,49.83,12107.5,11969.5,Tuesday,winter,morning
2020-01-07 10:00:00,49.16,12121.5,11896.5,Tuesday,winter,morning
2020-01-07 11:00:00,48.43,11774.75,11610.5,Tuesday,winter,morning
2020-01-07 12:00:00,47.99,11788.25,11571.0,Tuesday,winter,afternoon
2020-01-07 13:00:00,47.2,11592.25,11608.25,Tuesday,winter,afternoon
2020-01-07 14:00:00,45.38,11457.5,11593.75,Tuesday,winter,afternoon
2020-01-07 15:00:00,45.9,11528.5,11834.25,Tuesday,winter,afternoon
2020-01-07 16:00:00,47.96,12193.5,12525.5,Tuesday,winter,afternoon
2020-01-07 17:00:00,48.11,12204.0,12447.5,Tuesday,winter,afternoon
2020-01-07 18:00:00,40.89,11751.75,11929.25,Tuesday,winter,evening
2020-01-07 19:00:00,30.36,11048.5,11380.5,Tuesday,winter,evening
2020-01-07 20:00:00,36.39,10459.25,10825.25,Tuesday,winter,evening
2020-01-07 21:00:00,31.55,10483.75,10766.0,Tuesday,winter,evening
2020-01-07 22:00:00,32.85,10371.25,10541.0,Tuesday,winter,evening
2020-01-07 23:00:00,28.9,9677.5,9961.0,Tuesday,winter,evening
2020-01-08 00:00:00,27.28,9187.25,9384.5,Wednesday,winter,night
2020-01-08 01:00:00,24.6,8884.5,9081.0,Wednesday,winter,night
2020-01-08 02:00:00,20.86,8569.5,8880.0,Wednesday,winter,night
2020-01-08 03:00:00,19.36,8591.5,8917.5,Wednesday,winter,night
2020-01-08 04:00:00,25.0,9152.75,9423.0,Wednesday,winter,night
2020-01-08 05:00:00,33.05,10314.0,10525.0,Wednesday,winter,night
2020-01-08 06:00:00,40.24,11411.25,11405.75,Wednesday,winter,morning
2020-01-08 07:00:00,43.43,11917.75,11694.75,Wednesday,winter,morning
2020-01-08 08:00:00,44.03,11944.5,11784.0,Wednesday,winter,morning
2020-01-08 09:00:00,45.98,12029.5,11763.0,Wednesday,winter,morning
2020-01-08 10:00:00,45.99,12109.75,11809.0,Wednesday,winter,morning
2020-01-08 11:00:00,46.1,12104.5,11583.0,Wednesday,winter,morning
2020-01-08 12:00:00,44.9,12150.5,11544.5,Wednesday,winter,afternoon
2020-01-08 13:00:00,46.04,12008.5,11436.0,Wednesday,winter,afternoon
2020-01-08 14:00:00,46.33,12034.5,11504.75,Wednesday,winter,afternoon
2020-01-08 15:00:00,47.9,11991.5,11657.25,Wednesday,winter,afternoon
2020-01-08 16:00:00,55.06,12490.75,12269.25,Wednesday,winter,afternoon
2020-01-08 17:00:00,55.92,12432.0,12325.25,Wednesday,winter,afternoon
2020-01-08 18:00:00,55.93,11960.0,11791.5,Wednesday,winter,evening
2020-01-08 19:00:00,48.1,11411.25,11189.75,Wednesday,winter,evening
2020-01-08 20:00:00,44.92,10684.0,10603.75,Wednesday,winter,evening
2020-01-08 21:00:00,41.64,10597.0,10595.25,Wednesday,winter,evening
2020-01-08 22:00:00,39.41,10377.75,10466.75,Wednesday,winter,evening
2020-01-08 23:00:00,34.08,9631.5,9853.5,Wednesday,winter,evening
2020-01-09 00:00:00,32.2,8888.0,9354.25,Thursday,winter,night
2020-01-09 01:00:00,32.56,8559.0,9048.75,Thursday,winter,night
2020-01-09 02:00:00,31.08,8531.75,8870.0,Thursday,winter,night
2020-01-09 03:00:00,28.86,8610.25,8972.5,Thursday,winter,night
2020-01-09 04:00:00,28.92,9038.75,9474.5,Thursday,winter,night
2020-01-09 05:00:00,35.21,10190.75,10562.5,Thursday,winter,night
2020-01-09 06:00:00,46.27,11142.25,11497.25,Thursday,winter,morning
2020-01-09 07:00:00,47.63,11643.25,11824.0,Thursday,winter,morning
2020-01-09 08:00:00,45.68,11790.5,11893.75,Thursday,winter,morning
2020-01-09 09:00:00,43.61,11861.75,11793.0,Thursday,winter,morning
2020-01-09 10:00:00,40.17,11984.75,11821.75,Thursday,winter,morning
2020-01-09 11:00:00,37.33,11780.25,11578.0,Thursday,winter,morning
2020-01-09 12:00:00,34.04,11762.75,11593.25,Thursday,winter,afternoon
2020-01-09 13:00:00,32.9,11583.0,11500.5,Thursday,winter,afternoon
2020-01-09 14:00:00,32.54,11578.5,11509.25,Thursday,winter,afternoon
2020-01-09 15:00:00,33.21,11554.0,11600.25,Thursday,winter,afternoon
2020-01-09 16:00:00,42.93,12086.0,12168.75,Thursday,winter,afternoon
2020-01-09 17:00:00,45.63,11938.0,12265.0,Thursday,winter,afternoon
2020-01-09 18:00:00,41.03,11537.5,11766.5,Thursday,winter,evening
2020-01-09 19:00:00,33.89,11011.25,11154.5,Thursday,winter,evening
2020-01-09 20:00:00,31.26,10325.0,10579.75,Thursday,winter,evening
2020-01-09 21:00:00,31.3,10241.5,10678.75,Thursday,winter,evening
2020-01-09 22:00:00,29.7,10051.75,10559.5,Thursday,winter,evening
2020-01-09 23:00:00,28.06,9463.75,9931.75,Thursday,winter,evening
2020-01-10 00:00:00,27.67,9278.25,9179.25,Friday,winter,night
2020-01-10 01:00:00,28.33,8845.25,8924.0,Friday,winter,night
2020-01-10 02:00:00,26.72,8740.0,8761.25,Friday,winter,night
2020-01-10 03:00:00,26.95,8636.0,8821.5,Friday,winter,night
2020-01-10 04:00:00,27.95,9319.5,9122.5,Friday,winter,night
2020-01-10 05:00:00,30.27,10418.25,10315.25,Friday,winter,night
2020-01-10 06:00:00,43.53,11215.5,11311.75,Friday,winter,morning
2020-01-10 07:00:00,47.4,11755.75,11693.75,Friday,winter,morning
2020-01-10 08:00:00,52.38,11768.75,11755.25,Friday,winter,morning
2020-01-10 09:00:00,52.95,11732.25,11641.75,Friday,winter,morning
2020-01-10 10:00:00,50.55,11842.25,11772.5,Friday,winter,morning
2020-01-10 11:00:00,45.94,11505.75,11695.5,Friday,winter,morning
2020-01-10 12:00:00,40.38,11505.25,11592.75,Friday,winter,afternoon
2020-01-10 13:00:00,37.27,11522.0,11351.75,Friday,winter,afternoon
2020-01-10 14:00:00,37.73,11494.0,11281.25,Friday,winter,afternoon
2020-01-10 15:00:00,42.69,11581.75,11361.25,Friday,winter,afternoon
2020-01-10 16:00:00,48.94,12155.25,11785.5,Friday,winter,afternoon
2020-01-10 17:00:00,51.01,11974.25,11625.75,Friday,winter,afternoon
2020-01-10 18:00:00,47.68,11623.75,11165.25,Friday,winter,evening
2020-01-10 19:00:00,45.1,11035.75,10642.5,Friday,winter,evening
2020-01-10 20:00:00,41.39,10459.25,10095.75,Friday,winter,evening
2020-01-10 21:00:00,39.9,10510.75,10199.0,Friday,winter,evening
2020-01-10 22:00:00,33.08,10330.5,10133.5,Friday,winter,evening
2020-01-10 23:00:00,35.01,9892.0,9552.75,Friday,winter,evening
2020-01-11 00:00:00,34.0,9276.0,9215.75,Saturday,winter,night
2020-01-11 01:00:00,31.43,8930.25,8710.75,Saturday,winter,night
2020-01-11 02:00:00,29.14,8652.75,8501.75,Saturday,winter,night
2020-01-11 03:00:00,28.84,8612.25,8211.0,Saturday,winter,night
2020-01-11 04:00:00,28.43,8697.0,8451.75,Saturday,winter,night
2020-01-11 05:00:00,29.19,8847.75,8780.5,Saturday,winter,night
2020-01-11 06:00:00,31.11,9140.5,9124.25,Saturday,winter,morning
2020-01-11 07:00:00,35.68,9783.5,9799.5,Saturday,winter,morning
2020-01-11 08:00:00,40.0,10078.25,10208.0,Saturday,winter,morning
2020-01-11 09:00:00,37.97,10414.75,10504.75,Saturday,winter,morning
2020-01-11 10:00:00,37.9,10531.25,10609.25,Saturday,winter,morning
2020-01-11 11:00:00,34.7,10314.75,10727.0,Saturday,winter,morning
2020-01-11 12:00:00,33.0,10176.5,10573.5,Saturday,winter,afternoon
2020-01-11 13:00:00,31.45,10103.0,10371.5,Saturday,winter,afternoon
2020-01-11 14:00:00,32.38,10040.5,10311.75,Saturday,winter,afternoon
2020-01-11 15:00:00,33.1,10084.0,10397.25,Saturday,winter,afternoon
2020-01-11 16:00:00,40.78,10772.0,10997.5,Saturday,winter,afternoon
2020-01-11 17:00:00,44.68,10827.5,10978.25,Saturday,winter,afternoon
2020-01-11 18:00:00,34.08,10530.75,10548.75,Saturday,winter,evening
2020-01-11 19:00:00,32.81,10017.5,10038.5,Saturday,winter,evening
2020-01-11 20:00:00,28.39,9571.0,9531.25,Saturday,winter,evening
2020-01-11 21:00:00,29.9,9642.5,9525.75,Saturday,winter,evening
2020-01-11 22:00:00,26.5,9632.25,9595.5,Saturday,winter,evening
2020-01-11 23:00:00,25.26,9156.0,9214.25,Saturday,winter,evening
2020-01-12 00:00:00,23.53,8681.0,8720.0,Sunday,winter,night
2020-01-12 01:00:00,24.15,8306.5,8409.5,Sunday,winter,night
2020-01-12 02:00:00,20.35,7991.75,8125.75,Sunday,winter,night
2020-01-12 03:00:00,20.57,7873.0,8108.25,Sunday,winter,night
2020-01-12 04:00:00,21.04,7912.5,8160.25,Sunday,winter,night
2020-01-12 05:00:00,20.64,8171.0,8322.0,Sunday,winter,night
2020-01-12 06:00:00,29.6,8328.5,8478.0,Sunday,winter,morning
2020-01-12 07:00:00,28.42,8745.25,8925.5,Sunday,winter,morning
2020-01-12 08:00:00,28.4,9239.5,9320.5,Sunday,winter,morning
2020-01-12 09:00:00,28.6,9710.75,9695.5,Sunday,winter,morning
2020-01-12 10:00:00,30.38,10161.75,9982.5,Sunday,winter,morning
2020-01-12 11:00:00,30.9,10317.5,10145.25,Sunday,winter,morning
2020-01-12 12:00:00,28.14,10117.0,9981.0,Sunday,winter,afternoon
2020-01-12 13:00:00,27.01,9785.25,9773.75,Sunday,winter,afternoon
2020-01-12 14:00:00,26.64,9628.75,9711.0,Sunday,winter,afternoon
2020-01-12 15:00:00,28.13,9647.75,9832.0,Sunday,winter,afternoon
2020-01-12 16:00:00,35.48,10641.5,10469.75,Sunday,winter,afternoon
2020-01-12 17:00:00,47.0,10619.5,10678.25,Sunday,winter,afternoon
2020-01-12 18:00:00,46.53,10430.25,10526.5,Sunday,winter,evening
2020-01-12 19:00:00,46.54,9999.5,10161.0,Sunday,winter,evening
2020-01-12 20:00:00,32.07,9635.0,9713.5,Sunday,winter,evening
2020-01-12 21:00:00,38.1,9552.75,9715.25,Sunday,winter,evening
2020-01-12 22:00:00,33.77,9540.0,9656.75,Sunday,winter,evening
2020-01-12 23:00:00,30.13,8878.25,9121.0,Sunday,winter,evening
2020-01-13 00:00:00,26.85,8636.75,8676.25,Monday,winter,night
2020-01-13 01:00:00,25.5,8224.0,8357.75,Monday,winter,night
2020-01-13 02:00:00,24.95,8173.0,8170.75,Monday,winter,night
2020-01-13 03:00:00,25.12,8272.75,8260.75,Monday,winter,night
2020-01-13 04:00:00,27.44,8901.25,8920.25,Monday,winter,night
2020-01-13 05:00:00,37.96,10227.25,10212.5,Monday,winter,night
2020-01-13 06:00:00,48.64,11259.0,11241.25,Monday,winter,morning
2020-01-13 07:00:00,52.93,11765.25,11724.25,Monday,winter,morning
2020-01-13 08:00:00,49.89,11719.5,11798.0,Monday,winter,morning
